from, to, weight, directed
0,1,1,true
2,3,1,true
4,5,1,true
4,6,1,true
7,8,1,true
7,9,1,true
10,11,1,true
12,13,1,true
14,15,1,true
16,17,1,true
18,19,1,true
20,21,1,true
22,23,1,true
24,11,1,true
25,26,1,true
25,27,1,true
28,28,1,true
28,29,1,true
30,31,3,true
30,32,3,true
33,34,1,true
33,35,1,true
36,21,1,true
37,38,1,true
39,40,1,true
41,42,1,true
43,44,1,true
43,45,1,true
46,47,1,true
48,49,1,true
50,51,1,true
50,52,1,true
50,53,1,true
54,55,1,true
54,56,1,true
54,57,1,true
54,58,1,true
54,59,1,true
54,60,1,true
54,61,1,true
54,62,1,true
54,63,1,true
54,64,1,true
54,65,1,true
54,66,1,true
67,47,1,true
68,68,2,true
69,70,1,true
69,71,1,true
72,73,1,true
74,21,1,true
75,76,1,true
77,78,1,true
79,80,1,true
81,82,1,true
83,84,1,true
85,86,1,true
85,87,1,true
85,88,1,true
89,90,1,true
91,92,1,true
93,94,1,true
93,95,1,true
96,97,1,true
98,99,1,true
100,101,1,true
100,102,1,true
103,104,1,true
105,106,1,true
105,107,1,true
108,109,1,true
110,111,1,true
110,112,1,true
113,114,1,true
115,116,1,true
117,38,1,true
118,109,1,true
119,120,1,true
119,121,1,true
119,122,1,true
123,124,2,true
125,126,1,true
125,127,1,true
49,128,1,true
129,130,1,true
131,132,1,true
133,134,2,true
133,135,1,true
136,137,1,true
136,136,1,true
138,139,1,true
138,140,1,true
138,141,1,true
138,142,1,true
138,143,1,true
138,144,1,true
138,145,1,true
138,146,1,true
147,148,1,true
147,149,1,true
150,150,4,true
151,152,1,true
153,154,1,true
155,156,1,true
157,21,1,true
158,159,1,true
160,161,1,true
162,163,1,true
164,165,1,true
164,166,1,true
167,19,1,true
168,169,1,true
168,170,1,true
168,171,1,true
168,172,1,true
168,173,1,true
168,168,1,true
168,174,1,true
168,175,1,true
168,176,1,true
177,178,1,true
179,1,1,true
180,180,1,true
181,182,1,true
181,183,1,true
184,185,3,true
186,187,1,true
188,21,1,true
189,190,1,true
189,191,1,true
189,192,1,true
193,194,1,true
195,196,1,true
195,197,1,true
198,199,1,true
198,200,1,true
198,201,1,true
202,203,1,true
204,21,1,true
205,206,1,true
205,207,1,true
208,209,1,true
208,210,1,true
208,211,1,true
212,213,1,true
212,214,1,true
212,215,1,true
212,216,1,true
217,193,1,true
217,194,1,true
218,21,1,true
3,219,1,true
220,221,1,true
222,223,1,true
224,21,1,true
225,226,1,true
227,228,1,true
229,76,1,true
168,165,1,true
230,84,1,true
230,231,1,true
232,233,1,true
232,234,1,true
232,235,1,true
236,236,1,true
236,237,1,true
236,238,1,true
236,239,1,true
240,241,1,true
242,243,1,true
242,244,1,true
245,246,1,true
247,248,1,true
247,249,1,true
247,250,1,true
251,252,1,true
251,253,1,true
254,254,1,true
255,237,1,true
256,257,1,true
256,258,1,true
259,260,2,true
259,261,2,true
259,262,2,true
263,165,1,true
264,265,1,true
266,21,1,true
267,268,1,true
267,269,1,true
270,270,1,true
30,271,3,true
272,273,1,true
274,275,1,true
276,277,1,true
278,279,1,true
280,281,1,true
12,282,1,true
283,284,1,true
283,285,1,true
286,97,1,true
287,288,1,true
289,289,2,true
289,290,2,true
291,292,1,true
293,294,2,true
295,296,1,true
295,297,1,true
295,298,1,true
295,299,1,true
295,300,1,true
295,301,1,true
295,302,1,true
295,303,1,true
295,304,1,true
295,305,1,true
306,178,1,true
307,308,1,true
307,309,1,true
310,21,1,true
311,312,1,true
313,314,1,true
315,316,1,true
317,318,1,true
319,320,1,true
319,321,1,true
322,323,1,true
324,325,1,true
326,1,1,true
327,328,1,true
329,55,1,true
329,56,1,true
329,57,1,true
329,58,1,true
329,59,1,true
329,60,1,true
329,61,1,true
329,62,1,true
329,63,1,true
329,64,1,true
329,65,1,true
329,66,1,true
330,21,1,true
331,331,1,true
332,109,1,true
333,334,1,true
335,109,1,true
336,337,1,true
338,339,1,true
340,228,2,true
341,292,1,true
342,343,1,true
344,345,1,true
346,347,1,true
348,349,1,true
348,350,1,true
351,352,1,true
351,353,1,true
351,354,1,true
355,356,1,true
355,357,1,true
358,359,1,true
358,360,1,true
358,361,1,true
358,362,1,true
358,363,1,true
358,364,1,true
358,365,1,true
358,366,1,true
358,367,1,true
358,368,1,true
369,21,1,true
370,370,1,true
371,372,1,true
373,374,1,true
375,376,1,true
377,378,1,true
377,379,2,true
380,381,6,true
382,237,1,true
383,384,1,true
383,385,1,true
383,386,1,true
387,388,1,true
389,21,1,true
390,391,1,true
392,196,1,true
392,393,1,true
394,97,1,true
395,97,1,true
396,397,1,true
398,399,1,true
398,398,1,true
400,38,1,true
401,196,1,true
401,393,1,true
402,403,1,true
404,405,1,true
406,407,1,true
406,408,1,true
406,409,1,true
406,410,1,true
411,412,1,true
413,414,1,true
413,415,1,true
413,416,1,true
413,417,1,true
413,418,1,true
413,419,1,true
413,420,1,true
413,421,1,true
413,422,1,true
413,423,1,true
424,128,1,true
425,114,3,true
426,427,1,true
426,428,1,true
426,429,1,true
426,430,1,true
426,431,1,true
426,432,1,true
426,433,1,true
434,435,2,true
436,437,1,true
438,439,1,true
440,109,1,true
441,442,1,true
443,444,1,true
445,446,1,true
447,448,2,true
449,450,1,true
451,447,1,true
451,448,1,true
452,453,1,true
452,454,1,true
455,456,1,true
457,21,1,true
458,459,1,true
460,21,1,true
461,462,1,true
463,97,1,true
464,465,1,true
464,466,1,true
467,468,1,true
469,470,1,true
471,472,1,true
473,279,1,true
474,101,1,true
474,102,1,true
475,436,1,true
475,437,1,true
476,447,1,true
476,448,1,true
477,478,1,true
477,479,1,true
477,480,1,true
477,481,1,true
482,483,10,true
477,484,1,true
477,485,1,true
477,486,1,true
477,487,1,true
488,489,1,true
490,491,1,true
490,492,1,true
493,494,1,true
495,496,1,true
497,1,1,true
498,499,1,true
500,94,1,true
500,95,1,true
501,502,1,true
501,503,1,true
501,504,1,true
501,505,1,true
501,506,1,true
501,507,1,true
501,508,1,true
509,510,1,true
509,511,1,true
512,114,1,true
513,514,1,true
515,516,1,true
517,518,1,true
519,520,4,true
521,1,1,true
522,316,1,true
523,524,1,true
523,525,1,true
523,526,1,true
527,494,1,true
528,436,1,true
528,437,1,true
529,97,1,true
530,436,1,true
530,437,1,true
531,109,1,true
532,517,1,true
532,518,1,true
533,534,1,true
535,536,1,true
537,538,1,true
539,540,1,true
541,542,1,true
541,543,1,true
544,545,1,true
546,49,1,true
547,21,1,true
548,549,1,true
548,550,1,true
548,551,1,true
552,553,1,true
552,309,1,true
554,555,1,true
554,556,1,true
557,558,1,true
559,47,1,true
560,427,1,true
560,428,1,true
560,429,1,true
560,430,1,true
560,431,1,true
560,432,1,true
560,433,1,true
561,1,1,true
562,563,1,true
564,565,1,true
566,567,1,true
568,101,1,true
568,102,1,true
569,496,1,true
570,570,1,true
571,572,1,true
571,573,1,true
571,574,1,true
575,575,1,true
575,576,1,true
577,578,1,true
577,262,1,true
577,579,1,true
577,580,1,true
581,582,1,true
583,584,1,true
585,21,1,true
586,494,2,true
587,588,1,true
589,590,1,true
589,591,1,true
592,593,1,true
592,594,1,true
592,595,1,true
596,597,1,true
30,598,3,true
498,599,1,true
498,600,1,true
601,602,1,true
601,603,1,true
601,604,1,true
605,606,1,true
605,607,1,true
608,609,1,true
610,611,1,true
612,611,1,true
613,611,1,true
614,615,1,true
616,617,1,true
618,619,1,true
620,611,1,true
621,109,1,true
622,611,1,true
623,624,1,true
623,625,1,true
623,626,1,true
623,627,1,true
623,628,1,true
629,630,1,true
631,611,1,true
632,134,1,true
633,611,1,true
634,635,1,true
636,611,2,true
637,638,1,true
316,639,1,true
602,601,1,true
602,602,1,true
602,603,1,true
602,604,1,true
640,641,1,true
640,642,1,true
643,196,1,true
643,393,1,true
644,645,1,true
646,647,1,true
648,649,1,true
650,651,1,true
650,652,1,true
650,653,1,true
654,47,1,true
655,656,1,true
655,657,1,true
655,658,1,true
655,659,1,true
655,660,1,true
661,662,1,true
663,126,1,true
663,127,1,true
664,601,1,true
664,602,1,true
664,603,1,true
664,604,1,true
665,637,1,true
665,638,1,true
666,667,1,true
668,611,1,true
669,611,1,true
670,670,1,true
671,672,1,true
673,611,1,true
674,237,1,true
675,676,1,true
675,677,1,true
675,678,1,true
675,679,1,true
680,101,1,true
680,102,1,true
681,682,1,true
683,470,1,true
684,94,1,true
684,95,1,true
685,11,1,true
686,687,1,true
686,686,1,true
688,611,1,true
689,682,1,true
689,690,1,true
689,691,1,true
689,692,1,true
693,611,1,true
694,611,1,true
695,696,1,true
697,698,1,true
699,700,1,true
701,702,1,true
701,262,1,true
703,704,2,true
703,705,2,true
706,707,1,true
708,109,1,true
709,710,1,true
711,712,1,true
713,714,1,true
703,715,1,true
716,21,1,true
717,718,1,true
719,494,1,true
720,696,1,true
721,722,1,true
721,721,1,true
723,724,1,true
723,725,1,true
723,726,1,true
727,728,2,true
729,730,1,true
729,731,1,true
732,733,1,true
734,735,1,true
734,736,1,true
737,637,1,true
737,638,1,true
738,739,1,true
740,741,1,true
740,477,1,true
742,97,1,true
743,611,1,true
744,611,1,true
745,746,1,true
747,748,1,true
747,749,1,true
750,109,1,true
751,611,1,true
752,33,1,true
752,34,1,true
752,35,1,true
752,753,1,true
752,754,1,true
752,755,1,true
752,756,1,true
752,757,1,true
752,758,1,true
752,759,1,true
752,760,1,true
761,762,1,true
763,271,1,true
763,764,1,true
765,766,1,true
767,696,1,true
768,109,1,true
769,447,1,true
769,448,1,true
770,771,1,true
772,667,1,true
773,774,1,true
775,776,1,true
777,778,1,true
777,779,3,true
133,133,3,true
780,21,1,true
781,782,1,true
783,784,1,true
785,237,1,true
786,766,1,true
787,696,2,true
788,733,1,true
789,718,1,true
789,252,1,true
789,790,1,true
791,109,1,true
792,792,1,true
793,734,1,true
793,735,1,true
793,736,1,true
794,21,1,true
795,611,1,true
796,797,1,true
798,798,1,true
799,800,1,true
801,802,1,true
803,21,1,true
804,805,1,true
806,807,2,true
806,808,2,true
806,809,2,true
810,109,1,true
811,805,1,true
812,8,2,true
812,813,1,true
812,814,1,true
812,815,1,true
812,816,1,true
817,818,1,true
817,11,1,true
819,820,1,true
821,822,1,true
823,824,1,true
825,309,1,true
825,826,1,true
482,827,2,true
828,829,1,true
830,472,1,true
831,805,1,true
832,833,1,true
834,835,1,true
834,836,1,true
837,838,1,true
837,839,1,true
840,840,1,true
807,808,7,true
841,842,1,true
843,844,1,true
845,846,1,true
847,44,1,true
847,45,1,true
848,849,4,true
848,850,1,true
851,852,1,true
853,853,1,true
854,855,1,true
856,857,1,true
858,805,1,true
859,19,1,true
860,861,1,true
860,862,1,true
863,309,1,true
863,826,1,true
864,865,1,true
866,715,1,true
867,868,1,true
867,869,1,true
867,870,1,true
867,871,1,true
867,872,1,true
867,873,1,true
867,874,1,true
875,682,1,true
876,877,1,true
878,114,1,true
879,11,1,true
880,881,1,true
882,606,1,true
882,607,1,true
883,606,1,true
883,607,1,true
884,885,1,true
884,886,1,true
887,109,1,true
888,774,1,true
889,844,1,true
890,891,1,true
890,892,1,true
890,893,1,true
894,895,1,true
896,897,1,true
896,898,1,true
896,899,1,true
896,900,1,true
901,902,1,true
903,904,1,true
903,905,1,true
906,907,1,true
906,908,1,true
906,909,1,true
910,696,1,true
911,911,1,true
911,912,1,true
913,914,1,true
915,611,1,true
916,917,1,true
918,611,1,true
919,608,1,true
919,609,1,true
920,47,1,true
921,922,1,true
923,611,1,true
924,925,1,true
926,927,1,true
928,611,1,true
929,927,1,true
930,931,1,true
930,932,1,true
933,376,1,true
934,935,1,true
934,936,1,true
937,938,1,true
939,611,1,true
940,696,1,true
941,109,1,true
942,942,2,true
943,943,1,true
943,376,1,true
944,945,1,true
946,947,1,true
948,949,1,true
950,78,1,true
951,952,1,true
953,954,1,true
955,956,1,true
957,376,1,true
958,945,1,true
959,956,1,true
960,961,1,true
960,962,1,true
963,964,1,true
965,309,1,true
965,826,1,true
966,877,1,true
967,617,1,true
968,945,1,true
969,877,1,true
970,935,1,true
970,936,1,true
971,935,1,true
971,936,1,true
972,78,1,true
973,974,1,true
975,667,1,true
976,977,1,true
978,977,1,true
979,977,1,true
980,376,1,true
981,982,6,true
981,611,2,true
983,984,1,true
985,844,1,true
986,94,1,true
986,95,1,true
987,988,1,true
989,611,1,true
990,956,1,true
991,992,1,true
991,993,1,true
316,790,1,true
316,718,1,true
994,734,1,true
994,735,1,true
994,736,1,true
995,996,1,true
997,998,1,true
999,55,1,true
999,56,1,true
999,57,1,true
999,58,1,true
999,59,1,true
999,60,1,true
999,61,1,true
999,62,1,true
999,63,1,true
999,64,1,true
999,65,1,true
999,66,1,true
1000,945,1,true
1001,1002,1,true
1003,1004,1,true
1005,1002,1,true
1006,1002,1,true
1007,1008,1,true
1009,1010,1,true
1009,1011,1,true
1009,1012,1,true
1009,1013,1,true
1009,1009,1,true
1009,1014,1,true
1015,47,1,true
1016,1017,1,true
1016,1018,1,true
1016,1016,1,true
1016,1019,1,true
1020,1002,1,true
1021,1022,1,true
1021,1023,1,true
1024,1025,1,true
1024,1026,1,true
1027,1002,1,true
1028,1029,1,true
1030,1031,1,true
1032,1033,1,true
1032,1034,1,true
1032,1035,1,true
1036,1037,1,true
1038,1039,1,true
1040,1041,2,true
1042,1043,1,true
1042,1044,1,true
1045,540,1,true
1046,1047,1,true
1048,1049,1,true
1050,21,1,true
1051,1002,1,true
1052,1043,1,true
1052,1044,1,true
1053,1043,1,true
1053,1044,1,true
1054,1055,1,true
1054,1056,1,true
1057,1058,1,true
1057,1059,1,true
1057,1060,1,true
1061,1062,1,true
1061,1063,1,true
983,1064,1,true
1065,617,1,true
1066,1067,1,true
1068,578,1,true
1068,262,1,true
1068,579,1,true
1068,580,1,true
1069,956,1,true
1070,1043,1,true
1070,1044,1,true
1071,1072,3,true
1073,1074,1,true
1075,21,1,true
1076,1002,1,true
1077,844,1,true
1078,1002,1,true
1079,582,1,true
1080,956,1,true
1081,1043,1,true
1081,1044,1,true
1082,977,1,true
1083,877,1,true
1084,1085,1,true
1086,1087,1,true
1088,1089,1,true
1090,237,1,true
1091,1002,1,true
1092,1043,1,true
1092,1044,1,true
1093,1094,1,true
1095,1096,1,true
1097,1098,1,true
1099,1085,1,true
1100,1087,1,true
1101,1102,1,true
1103,1002,1,true
1104,522,1,true
1104,316,1,true
1105,1049,1,true
1106,1,1,true
1107,309,1,true
1108,964,1,true
1109,1002,1,true
443,1110,1,true
443,1111,1,true
1112,1085,1,true
1113,1114,1,true
1115,1116,1,true
1117,1118,1,true
1119,1043,1,true
1119,1044,1,true
1120,1121,2,true
1120,1122,1,true
1120,1123,1,true
1120,262,1,true
1124,956,1,true
1125,1126,1,true
1127,1128,1,true
1129,1130,1,true
1131,494,1,true
1132,1133,1,true
1134,956,1,true
1135,1002,1,true
1136,1137,1,true
1136,1138,1,true
1139,1140,1,true
1141,1142,1,true
1142,1141,1,true
1142,1142,4,true
1143,237,1,true
1144,1043,1,true
1144,1044,1,true
1145,1142,1,true
1146,1147,1,true
1146,1148,1,true
1149,1150,1,true
1151,1152,1,true
1151,1153,1,true
1154,1155,1,true
1156,1142,1,true
1067,1067,5,true
1157,1158,1,true
1157,1159,1,true
1157,1160,1,true
1161,1043,1,true
1161,1044,1,true
1162,1163,1,true
1162,1162,2,true
1164,1165,1,true
1164,1142,1,true
1166,1167,1,true
1166,1168,1,true
1166,1169,1,true
1166,1170,1,true
1166,1171,1,true
1166,1172,1,true
1166,1173,1,true
1174,1175,1,true
1174,1176,1,true
1174,1177,1,true
1158,1157,1,true
1158,1158,1,true
1158,1159,1,true
1158,1160,1,true
1178,949,1,true
1179,667,1,true
1180,1181,1,true
1182,1043,1,true
1182,1044,1,true
1183,1002,1,true
1184,1002,1,true
1185,582,1,true
821,1186,1,true
