id,label,n_tweets,n_mentions
0,dmond1989,1,0
1,tswiftnz,0,24
2,wholelottajulie,1,0
3,bitchenboutique,3,2
4,museumsaregreat,5,0
5,v_and_a,0,3
6,paleomanchester,0,1
7,deede2547,2,0
8,carlosgzz03,0,15
9,missfamenyc,0,2
10,serginhouy,1,0
11,aeromexico,0,33
12,eburypublishing,2,0
13,tomglitter,0,1
14,glocigala,1,0
15,deinorsi,1,1
16,medicine_queer,1,0
17,shanainmedicine,0,1
18,alycialexa1,1,0
19,lexagold1,0,5
20,carlinosalvarez,1,0
21,georgetakei,3,119
22,disability_fi,1,0
23,helsinkipride,0,2
24,mendoza_leonard,1,0
25,jonconnorlyons,2,1
26,claytonopenshaw,0,1
27,gmbshoutnw,0,1
28,mertonuplift,2,3
29,mertonlgbt,0,2
30,shoptactics,16,0
31,thisisstory,0,3
32,macys,0,5
33,wickedeyes22,2,4
34,wipehomophobia,0,5
35,noh8campaign,1,40
36,jacobmartin,1,0
37,votejeanfoschi,1,0
38,governortomwolf,0,4
39,artplusmag,1,0
40,natmuseumph,0,2
41,yana147,1,0
42,cultura,0,1
43,nataf_sharon,2,0
44,mrduncanjames,0,5
45,pguk,2,4
46,xyccth,1,0
47,chocooliie,0,27
48,sstrumello,1,0
49,holybullies,4,5
50,aisteachjohn,3,0
51,girls_inc,0,1
52,nikkikumano,0,1
53,globalnewsfire,0,1
54,jimmy_jupiter,12,0
55,pman43,0,6
56,cockyboys,0,6
57,cademaddoxxx,0,6
58,austinxavery,0,6
59,darkhog1darkhog,0,8
60,pacojonesfl,0,8
61,mike_lopez5th,0,8
62,reecenickles,0,8
63,zboylin,0,8
64,querico26,0,8
65,jrodgers112,0,8
66,frankr0d,4,8
67,kymerapaluka,1,0
68,genderless_sky,2,2
69,noelitofigueroa,2,0
70,vee_magenta,0,1
71,tmobile,2,4
72,toninhoevans,3,0
73,hazellhd,0,1
74,butch_rant,1,0
75,tinkerstinker66,1,0
76,mathewshurka,0,2
77,globaltmco,1,0
78,aiginsurance,0,4
79,andressadc_,1,0
80,gaymadapetropo,0,1
81,mindinmotionmkd,1,0
82,dimithril,0,2
83,antoinne92,1,0
84,ccspv,1,10
85,greenwichguide,3,0
86,borisjohnson,0,1
87,emiratesairldn,0,1
88,theo2,0,1
89,melodicmatoki,1,0
90,pantaypilipinas,0,4
91,smeuks,1,0
92,thenewneena,0,1
93,nashbromo,2,0
94,mikey_sul,0,11
95,starbucks,0,14
96,jessicajudith_,1,0
97,fravineas,0,11
98,thatcubt,1,0
99,drjgreenwood,0,3
100,skylerknight00,2,0
101,bigclitleelee,0,8
102,vickiveronaxxx,0,4
103,piwott108,1,0
104,primark,0,1
105,ravenclaws4life,2,0
106,thecw,0,3
107,cwgood,0,3
108,zelosomadx,1,0
109,bigbiggyabc,0,77
110,jimthevic,2,0
111,pontifex,0,1
112,prayasugo,0,1
113,fireprooftatt,1,0
114,hits93toronto,8,182
115,cosmicxdustx,1,0
116,joleanart,0,2
117,annakrukcorbin,1,0
118,nayebene,1,0
119,annkakultys,3,0
120,mollysoda,0,1
121,arvidabystrom,0,1
122,artsy,0,1
123,extragaylover,2,0
124,the_proud_gay,0,18
125,topzrole,2,0
126,minkidoodles,0,6
127,jestarcana,0,5
128,revrrlewis,0,2
129,odoylecharlotte,4,0
130,rendon63rd,0,1
131,lzapp16,3,0
132,jgreenblattadl,0,1
133,byphilcrawford,9,4
134,nytimes,0,14
135,petebuttigieg,0,31
136,alvarocaboalles,2,1
137,dtespacio,0,1
138,caniel1603,8,0
139,itgetsbetter,0,9
140,lancebass,0,6
