,from, to, weight, directed
0,0,1,1,True
1,2,3,1,True
2,4,5,1,True
3,4,6,1,True
4,7,8,1,True
5,7,9,1,True
6,10,11,1,True
7,12,13,1,True
8,14,15,1,True
9,16,17,1,True
10,18,19,1,True
11,20,21,1,True
12,22,23,1,True
13,24,11,1,True
14,25,26,1,True
15,25,27,1,True
16,28,28,1,True
17,28,29,1,True
18,30,31,3,True
19,30,32,3,True
20,33,34,1,True
21,33,35,1,True
22,36,21,1,True
23,37,38,1,True
24,39,40,1,True
25,41,42,1,True
26,43,44,1,True
27,43,45,1,True
28,46,47,1,True
29,48,49,1,True
30,50,51,1,True
31,50,52,1,True
32,50,53,1,True
33,54,55,1,True
34,54,56,1,True
35,54,57,1,True
36,54,58,1,True
37,54,59,1,True
38,54,60,1,True
39,54,61,1,True
40,54,62,1,True
41,54,63,1,True
42,54,64,1,True
43,54,65,1,True
44,54,66,1,True
45,67,47,1,True
46,68,68,2,True
47,69,70,1,True
48,69,71,1,True
49,72,73,1,True
50,74,21,1,True
51,75,76,1,True
52,77,78,1,True
53,79,80,1,True
54,81,82,1,True
55,83,84,1,True
56,85,86,1,True
57,85,87,1,True
58,85,88,1,True
59,89,90,1,True
60,91,92,1,True
61,93,94,1,True
62,93,95,1,True
63,96,97,1,True
64,98,99,1,True
65,100,101,1,True
66,100,102,1,True
67,103,104,1,True
68,105,106,1,True
69,105,107,1,True
70,108,109,1,True
71,110,111,1,True
72,110,112,1,True
73,113,114,1,True
74,115,116,1,True
75,117,38,1,True
76,118,109,1,True
77,119,120,1,True
78,119,121,1,True
79,119,122,1,True
80,123,124,2,True
81,125,126,1,True
82,125,127,1,True
83,49,128,1,True
84,129,130,1,True
85,131,132,1,True
86,133,134,2,True
87,133,135,1,True
88,136,137,1,True
89,136,136,1,True
90,138,139,1,True
91,138,140,1,True
92,138,141,1,True
93,138,142,1,True
94,138,143,1,True
95,138,144,1,True
96,138,145,1,True
97,138,146,1,True
98,147,148,1,True
99,147,149,1,True
100,150,150,4,True
101,151,152,1,True
102,153,154,1,True
103,155,156,1,True
104,157,21,1,True
