,id,label,n_tweets,n_mentions,country
0,3,bitchenboutique,3,2, USA
3,4,museumsaregreat,5,0, UK
5,14,glocigala,1,0, Italy
6,20,carlinosalvarez,1,0, USA
7,41,yana147,1,0, France
8,43,nataf_sharon,2,0,Israel
9,48,sstrumello,1,0, USA
10,49,holybullies,4,5, USA
15,54,jimmy_jupiter,12,0, USA
16,68,genderless_sky,2,2,Japan
17,74,butch_rant,1,0, Canada
18,79,andressadc_,1,0, Brazil
19,81,mindinmotionmkd,1,0,North Macedonia
20,85,greenwichguide,3,0, UK
21,89,melodicmatoki,1,0, United States
22,110,jimthevic,2,0, UK
23,123,extragaylover,2,0,Spain
25,125,topzrole,2,0, USA
26,150,edvin_palmer,6,5, USA
30,155,riquemillas,1,0, France
31,167,bottomlexaa_,1,0, USA
32,169,rollbarann,2,4, USA
33,204,joeljerrod,1,0, Australia
34,205,broadstreview,2,0, USA
35,222,earthy_alice,1,0,Canada
36,224,vivaeljueves,1,0, Spain
37,227,dipak_jad,1,0,India
38,258,penguinplatform,2,3, UK
39,270,gavdob,1,1, UK
41,283,cherrymischivus,2,0,United Kingdom
42,293,bersl2,2,0, USA
44,295,au_magazine,10,0, USA
45,306,kentond,1,0, Canada
46,315,phveilleux1,1,0, USA
47,316,lgbtqnation,21,36,United States
63,317,risottoart,1,0, USA
64,319,opcionsecuador,2,0, Ecuador
65,326,mspearlmaglinte,1,0, Philippines
66,332,eye2733,1,0,Thailand
67,334,vocativ,0,1, USA
68,340,merlin8thomas,2,0,India
69,358,joewaters,10,0, USA
70,371,octopus_eye,1,0, 02000
71,372,octeeo,0,2, 02000
72,376,billboard,3,33, USA
73,383,verobustos,3,0,Argentina
74,389,davidleedesign,1,0, UK
75,390,vauvent,1,0, Canada
76,392,milkymiles25,2,0, Philippines
77,395,utalomarques,1,0, Brazil
78,398,megelison,2,6, USA
79,402,xnanoux2,1,0, USA
80,404,lukageets,1,0,Belgium
81,406,shoggoth_roof,4,0, Spain
82,411,mateuspatussi,1,0, Brazil
83,424,frommsb,1,0, Canada
84,425,katys_old,3,0,Europe
87,427,pocketcasts,0,2, Australia
88,434,gutembergrojano,2,0, USA
90,438,aghvesagirk,1,0, UK
91,443,darby62,3,0, USA
93,449,sadpear,1,0, USA
94,455,ramirezalexa94,1,0, USA
95,471,ronnelfelipe11,1,0, Philippines
96,493,newman_rosita,1,0, UK
97,498,bstolemyremote,4,11, Canada
100,509,mikereyes,2,0, USA
101,519,whoseesitall,9,0, India
105,521,tsarahagst,1,0,Indonesia
106,523,d_oliv2,3,0, Brazil
107,524,equalitync,0,6, USA
109,527,genet1245,2,0, USA
111,528,asliverarrow,2,0, USA
112,533,deena_larks,1,0, USA
113,537,violethues1993,1,0,United States
114,544,patitalover,1,0, Mexico
115,545,mire138,0,11, Mexico
116,552,niquealex,2,0, USA
117,560,serendipitypod,7,0, USA
118,566,morgsbirdy,1,0, USA
119,575,esperhusky,2,1, USA
120,583,origamifan388,1,0, France
121,585,frikicongafas,2,0, USA
123,587,zzrowe,1,0, USA
124,596,alltoohopeless,1,0,Brazil
125,610,dmes_stephanie,1,0,Brazil
126,622,satnextothefire,1,0, Brazil
127,629,ciinna_stiicksx,1,0, USA
128,631,birgitss,1,0,Denmark
129,632,womenshistory,1,0, USA
130,637,debiowens,1,5, USA
131,650,holsz,3,0, Australia
132,663,aniblogplay,2,0,United States
133,669,alepreciadoo,1,0, Mexico
134,673,indkarinne,1,0, USA
135,681,nathzjason110,1,0,South Africa
136,683,jay_bird747,1,0, USA
137,685,jorgebe06644053,1,0, Colombia
138,688,patymora84,1,0, Mexico
139,693,mavinicolau,1,0, USA
140,694,wichobetto,1,0, Mexico
141,701,forumplus,2,0, UK
